IP Address,Status,Average Time (ms)
127.0.0.0,up,0.049
127.0.0.1,up,0.025
127.0.0.2,up,0.021
127.0.0.3,up,0.026
127.0.0.4,up,0.021
127.0.0.5,up,0.025
127.0.0.6,up,0.035
127.0.0.7,up,0.022
127.0.0.8,up,0.033
127.0.0.9,up,0.024
127.0.0.10,up,0.029
127.0.0.11,up,0.046
127.0.0.12,up,0.021
127.0.0.13,up,0.028
127.0.0.14,up,0.024
127.0.0.15,up,0.027
127.0.0.16,up,0.036
127.0.0.17,up,0.022
127.0.0.18,up,0.027
127.0.0.19,up,0.030
127.0.0.20,up,0.054
127.0.0.21,up,0.035
127.0.0.22,up,0.082
127.0.0.23,up,0.036
127.0.0.24,up,0.023
