IP Address,Status,Average Time (ms)
127.0.0.0,up,0.051
127.0.0.1,up,0.024
127.0.0.2,up,0.022
127.0.0.3,up,0.084
127.0.0.4,up,0.026
127.0.0.5,up,0.025
127.0.0.6,up,0.029
127.0.0.7,up,0.033
127.0.0.8,up,0.019
127.0.0.9,up,0.077
127.0.0.10,up,0.025
127.0.0.11,up,0.023
127.0.0.12,up,0.027
127.0.0.13,up,0.048
127.0.0.14,up,0.023
127.0.0.15,up,0.037
127.0.0.16,up,0.056
127.0.0.17,up,0.022
127.0.0.18,up,0.023
127.0.0.19,up,0.023
127.0.0.20,up,0.031
127.0.0.21,up,0.064
127.0.0.22,up,0.024
127.0.0.23,up,0.033
127.0.0.24,up,0.053
